Tanggal Pemesanan,Bulan,Pesanan,Jenis,Size,Qty,Pembayaran,Harga Satuan,Harga Total,Total modal,Total margin,Status,Owner
1/1/2026,January,Ayam Geprek Reguler,Ayam,Reguler,1,Cash,18000,18000,8500,9500,Selesai,kupa
1/4/2026,January,Ayam Geprek Reguler,Ayam,Reguler,1,Qris,18000,18000,8500,9500,Selesai,kupa
1/6/2026,January,Ayam Goreng Original Jumbo,Ayam,Jumbo,1,Cash,22000,22000,10000,12000,Selesai,hafiz
1/8/2026,January,Paket Nasi Ayam Geprek Jumbo,Paket,Jumbo,1,Cash,35000,35000,17000,18000,Selesai,kupa
1/8/2026,January,Ayam Goreng Crispy Jumbo,Ayam,Jumbo,1,Qris,22000,22000,8100,13900,Selesai,hafiz
1/8/2026,January,Es Teh Manis Reguler,Minuman,Reguler,1,Cash,5000,5000,1500,3500,Selesai,kupa
1/10/2026,January,Ayam Goreng Crispy Reguler,Ayam,Reguler,2,Cash,17000,34000,16200,17800,Selesai,kupa
1/11/2026,January,Paket Nasi Ayam Geprek Reguler,Paket,Reguler,2,Cash,27000,54000,24600,29400,Selesai,hafiz
1/12/2026,January,Kentang Goreng Reguler,Snack,Reguler,1,Cash,12000,12000,4800,7200,Selesai,kupa
1/15/2026,January,Ayam Goreng Crispy Reguler,Ayam,Reguler,1,Qris,17000,17000,8100,8900,Selesai,kupa
1/18/2026,January,Ayam Goreng Original Reguler,Ayam,Reguler,1,Qris,15000,15000,7200,7800,Selesai,hafiz
1/19/2026,January,Es Teh Manis Reguler,Minuman,Reguler,1,Qris,5000,5000,1500,3500,Selesai,hafiz
1/19/2026,January,Es Teh Manis Reguler,Minuman,Reguler,1,Qris,5000,5000,1500,3500,Selesai,hafiz
1/21/2026,January,Paket Nasi Ayam Geprek Reguler,Paket,Reguler,1,Qris,27000,27000,12300,14700,Selesai,hafiz
1/22/2026,January,Ayam Goreng Crispy Reguler,Ayam,Reguler,1,Cash,17000,17000,8100,8900,Proses,kupa
1/23/2026,January,Ayam Goreng Crispy Jumbo,Ayam,Jumbo,1,Cash,22000,22000,8100,13900,Proses,hafiz
1/26/2026,January,Ayam Goreng Crispy Jumbo,Ayam,Jumbo,1,Qris,22000,22000,8100,13900,Selesai,kupa
1/27/2026,January,Paket Nasi Ayam Original Reguler,Paket,Reguler,1,Cash,25000,25000,11500,13500,Selesai,kupa
1/27/2026,January,Ayam Goreng Original Jumbo,Ayam,Jumbo,1,Qris,22000,22000,10000,12000,Selesai,kupa
1/30/2026,January,Ayam Geprek Reguler,Ayam,Reguler,1,Cash,18000,18000,8500,9500,Selesai,hafiz
1/30/2026,January,Paket Nasi Ayam Geprek Reguler,Paket,Reguler,1,Cash,27000,27000,12300,14700,Selesai,kupa
2/1/2026,February,Paket Nasi Ayam Geprek Jumbo,Paket,Jumbo,1,Qris,35000,35000,17000,18000,Selesai,hafiz
2/1/2026,February,Paket Nasi Ayam Geprek Reguler,Paket,Reguler,1,Cash,27000,27000,12300,14700,Selesai,hafiz
2/1/2026,February,Ayam Goreng Original Reguler,Ayam,Reguler,1,Cash,15000,15000,7200,7800,Selesai,kupa
2/1/2026,February,Ayam Goreng Original Jumbo,Ayam,Jumbo,2,Qris,22000,44000,20000,24000,Batal,hafiz
