Produk,Jenis,Ukuran,Harga,Modal,Untung,Margin
Ayam Goreng Original Jumbo,Ayam,Jumbo,22000,10000,12000,55%
Ayam Goreng Original Regular,Ayam,Regular,15000,7200,7800,52%
Ayam Goreng Crispy Regular,Ayam,Regular,17000,8100,8900,52%
Ayam Goreng Crispy Jumbo,Ayam,Jumbo,22000,8100,13900,63%
Ayam Geprek Regular,Ayam,Regular,18000,8500,9500,53%
Ayam Geprek Jumbo,Ayam,Jumbo,25000,8500,16500,66%
Paket Nasi Ayam Original Regular,Paket,Regular,25000,11500,13500,54%
Paket Nasi Ayam Original Jumbo,Paket,Jumbo,32000,15000,17000,53%
Paket Nasi Ayam Geprek Regular,Paket,Regular,27000,12300,14700,54%
Paket Nasi Ayam Geprek Jumbo,Paket,Jumbo,35000,17000,18000,51%
Kentang Goreng,Snack,Regular,12000,4800,7200,60%
Tahu Crispy,Snack,Regular,10000,3900,6100,61%
Es Teh Manis,Minuman,Regular,5000,1500,3500,70%
